iter	RMSE
0	7331.864041
1	7215.183659
2	7117.185664
3	7002.31635
4	6924.653513
5	6810.749229
6	6720.291025
7	6619.68018
8	6534.43143
9	6438.102039
10	6344.199957
11	6247.972183
12	6129.952032
13	6066.366948
14	5986.593168
15	5905.530462
16	5795.023831
17	5705.598076
18	5636.710002
19	5553.565151
20	5480.003946
21	5419.213436
22	5336.629226
23	5265.112756
24	5187.667111
25	5123.469708
26	5052.59319
27	4981.424794
28	4914.884293
29	4836.983217
30	4775.100563
31	4691.336123
32	4640.757627
33	4582.544306
34	4521.715975
35	4475.490561
36	4409.00798
37	4348.215804
38	4297.403463
39	4242.381339
40	4201.467197
41	4147.445262
42	4105.208267
43	4055.377792
44	4011.971916
45	3974.339889
46	3914.997471
47	3868.388674
48	3814.535228
49	3769.377132
50	3719.839389
51	3678.486332
52	3630.908449
53	3606.542134
54	3572.745959
55	3531.353289
56	3493.169787
57	3455.417102
58	3414.79076
59	3378.269215
60	3342.238512
61	3306.049049
62	3265.86577
63	3228.932248
64	3194.267962
65	3150.173341
66	3119.643464
67	3087.095552
68	3052.616013
69	3019.357914
70	2985.388875
71	2956.850946
72	2922.627019
73	2894.683937
74	2863.763385
75	2843.225572
76	2812.249423
77	2779.24382
78	2755.146399
79	2729.057342
80	2704.41977
81	2686.115041
82	2662.084608
83	2635.807703
84	2608.473018
85	2584.366035
86	2562.540361
87	2545.091171
88	2521.268835
89	2497.86951
90	2475.563066
91	2453.645752
92	2439.17843
93	2419.289172
94	2399.147648
95	2379.637369
96	2366.258856
97	2344.5931
98	2327.130419
99	2318.682039
100	2300.660547
101	2275.474732
102	2259.208408
103	2237.348105
104	2218.718077
105	2195.813645
106	2177.280622
107	2160.100627
108	2142.355535
109	2125.743314
110	2109.303978
111	2094.246136
112	2077.39197
113	2065.538364
114	2049.840523
115	2030.97138
116	2016.583221
117	2000.526203
118	1987.887582
119	1974.724714
120	1964.033167
121	1948.002675
122	1931.855427
123	1916.651218
124	1905.145872
125	1892.043049
126	1878.413333
127	1868.504603
128	1856.215971
129	1844.557526
130	1835.891689
131	1827.854859
132	1818.386517
133	1808.35354
134	1798.68594
135	1788.377722
136	1778.564515
137	1768.385129
138	1759.216563
139	1751.360014
140	1742.096948
141	1732.528858
142	1722.310292
143	1710.858762
144	1697.963406
145	1691.32646
146	1682.070506
147	1676.035005
148	1666.590134
149	1659.179691
150	1649.070146
151	1640.881853
152	1632.716014
153	1623.668125
154	1614.183496
155	1608.524851
156	1600.926334
157	1596.510929
158	1589.522465
159	1581.716599
160	1574.153923
161	1564.206122
162	1553.975552
163	1544.832181
164	1537.732534
165	1529.772583
166	1522.68495
167	1514.20912
168	1504.28268
169	1498.708779
170	1490.492448
171	1484.581215
