iter	Passed	Remaining
0	1	1035
1	2	1150
2	3	1095
3	4	1096
4	5	1051
5	6	1079
6	7	1063
7	8	1050
8	9	1088
9	10	1079
10	11	1068
11	12	1069
12	13	1061
13	15	1058
14	17	1120
15	18	1135
16	19	1154
17	21	1165
18	22	1152
19	23	1139
20	25	1172
21	26	1175
22	27	1171
23	28	1163
24	29	1152
25	30	1140
26	34	1233
27	35	1229
28	36	1222
29	37	1216
30	39	1231
31	40	1217
32	42	1240
33	43	1238
34	44	1233
35	45	1223
36	48	1260
37	50	1266
38	51	1258
39	52	1257
40	53	1250
41	54	1247
42	56	1255
43	57	1255
44	58	1248
45	59	1241
46	60	1232
47	62	1240
48	64	1252
49	66	1268
50	67	1261
51	68	1253
52	70	1250
53	72	1266
54	73	1260
55	74	1255
56	75	1247
57	77	1263
58	79	1267
59	80	1263
60	81	1260
61	84	1271
62	85	1266
63	86	1259
64	86	1248
65	87	1240
66	88	1234
67	89	1230
68	90	1225
69	91	1220
70	93	1226
71	95	1227
72	96	1226
73	97	1225
74	99	1221
75	100	1217
76	101	1214
77	104	1231
78	105	1227
79	109	1261
80	111	1259
81	112	1255
82	113	1251
83	114	1250
84	115	1248
85	116	1243
86	117	1237
87	119	1235
88	120	1233
89	123	1249
90	124	1244
91	125	1242
92	128	1257
93	130	1253
94	131	1248
95	132	1250
96	134	1248
97	137	1261
98	138	1261
99	139	1251
100	140	1251
101	143	1264
102	148	1293
103	150	1292
104	151	1295
105	154	1300
106	155	1301
107	157	1298
108	159	1302
109	160	1298
110	161	1294
111	164	1306
112	170	1337
113	172	1340
114	173	1336
115	174	1332
116	176	1333
117	178	1334
118	179	1327
119	182	1338
120	187	1363
121	189	1362
122	190	1359
123	191	1354
124	192	1347
125	194	1348
126	195	1342
127	197	1346
128	198	1343
129	201	1345
130	202	1345
131	204	1341
132	205	1337
133	206	1335
134	208	1333
135	209	1328
136	213	1343
137	215	1343
138	216	1338
139	217	1333
140	218	1329
141	219	1324
142	219	1318
143	220	1313
144	221	1307
145	222	1302
146	223	1296
147	224	1292
148	228	1304
149	229	1302
150	230	1297
151	231	1293
152	233	1290
153	235	1291
154	236	1287
155	237	1282
156	238	1278
157	238	1273
158	239	1268
159	245	1288
160	246	1284
161	247	1280
162	248	1276
163	249	1272
164	250	1267
165	252	1267
166	253	1263
167	254	1260
168	255	1256
169	259	1266
170	260	1263
171	261	1260
172	262	1255
173	263	1252
174	264	1248
175	266	1247
176	267	1243
177	268	1239
178	269	1235
179	270	1231
180	274	1242
181	281	1265
182	282	1262
183	283	1258
184	284	1254
185	285	1250
186	286	1246
187	289	1248
188	290	1246
189	291	1241
190	292	1237
191	293	1233
192	294	1230
193	295	1227
194	296	1224
195	297	1221
196	299	1219
197	300	1215
198	302	1216
199	303	1213
200	304	1210
201	306	1209
202	307	1205
203	308	1203
204	309	1201
205	310	1197
206	311	1195
207	312	1191
208	314	1188
209	316	1190
210	318	1189
211	319	1187
212	320	1184
213	321	1182
214	322	1179
215	323	1175
216	324	1171
217	325	1168
218	327	1169
219	328	1165
220	329	1162
221	330	1158
222	335	1168
223	336	1166
224	337	1163
225	338	1159
226	339	1156
227	340	1153
228	342	1152
229	343	1149
230	344	1147
231	345	1143
232	347	1143
233	349	1143
234	350	1142
235	352	1139
236	353	1136
237	354	1133
238	355	1131
239	357	1130
240	357	1127
241	358	1124
242	359	1121
243	360	1117
244	363	1121
245	365	1119
246	366	1117
247	367	1114
248	368	1111
249	369	1108
250	378	1130
251	380	1130
252	382	1128
253	383	1125
254	384	1122
255	385	1119
256	386	1117
257	388	1116
258	388	1112
259	389	1109
260	390	1106
261	391	1103
262	395	1108
263	397	1108
264	398	1105
265	399	1103
266	401	1101
267	402	1098
268	403	1096
269	404	1093
270	405	1090
271	406	1088
272	410	1093
273	411	1091
